LSOA21CD,dpi_normalized,Pct of population speaks no or little English normalized,Pct umemp or econo inactive normalized,Pct household deprivation normalized,score
E01000450,7.7,0.57,3.88,4.401772526,16.55177253
E01000451,7.9,0.63,3.55,3.914327917,15.99432792
E01000452,7.58,0.59,3.15,3.781388479,15.10138848
E01000453,8.29,0.69,3.69,3.840472674,16.51047267
E01000454,6.98,0.89,4.31,5.553914328,17.73391433
E01000455,7.54,0.84,4.03,3.870014771,16.28001477
E01000456,8.45,0.61,3.59,3.64844904,16.29844904
E01000457,7.7,0.44,4.38,4.047267356,16.56726736
E01000458,6.67,0.29,5.08,4.830132939,16.87013294
E01000459,7.02,0.41,5.09,5.420974889,17.94097489
E01000460,8.45,0.09,4.07,2.46676514,15.07676514
E01000461,8.45,0.25,4.08,3.161004431,15.94100443
E01000462,7.98,0.52,4.86,4.697193501,18.0571935
E01000463,8.1,0.15,3.69,3.426883309,15.36688331
E01000464,7.58,1.35,4.71,7.223042836,20.86304284
E01000465,7.54,0.91,4.66,7.237813885,20.34781389
E01000466,8.45,1.31,4.51,6.499261448,20.76926145
E01000467,9.09,0.8,4.46,5.834564254,20.18456425
E01000468,9.13,0.66,4,5.480059084,19.27005908
E01000469,8.97,0.92,3.69,5.908419498,19.4884195
E01000470,7.5,1.35,5.09,7.267355982,21.20735598
E01000471,8.61,4.04,3.84,6.366322009,22.85632201
E01000472,9.48,2.64,3.52,5.864106352,21.50410635
E01000473,9.25,5.86,4.29,7.548005908,26.94800591
E01000474,8.45,4.86,4.22,8.050221566,25.58022157
E01000475,9.05,3.62,4.19,6.218611521,23.07861152
E01000476,8.17,5.77,4.28,6.454948301,24.6749483
E01000477,8.25,6.12,3.73,7.474150665,25.57415067
E01000478,9.01,5.04,4.24,6.440177253,24.73017725
E01000479,8.73,1.65,4.85,4.209748892,19.43974889
E01000480,8.69,1.79,4.6,3.810930576,18.89093058
E01000481,8.53,1.71,4.28,6.159527326,20.67952733
E01033931,8.45,2.29,4.84,6.735598227,22.31559823
E01000483,8.97,3.05,4.89,7.621861152,24.53186115
E01000484,8.37,1.58,5.21,7.76957164,22.92957164
E01000485,8.29,2.47,5.09,6.277695716,22.12769572
E01000486,9.09,1.97,4.66,4.387001477,20.10700148
E01000487,8.13,2.98,4.76,6.735598227,22.60559823
E01000488,8.77,2,3.79,5.908419498,20.4684195
E01000489,7.62,1.69,4.3,5.155096012,18.76509601
E01000490,8.73,1.34,3.42,5.081240768,18.57124077
E01000491,8.77,0.94,4.11,4.682422452,18.50242245
E01000492,8.29,1.52,3.85,4.00295421,17.66295421
E01000493,8.53,1,3.99,3.692762186,17.21276219
E01000494,7.82,2.52,4.9,5.302806499,20.5428065
E01000495,7.22,1.32,4.32,6.528803545,19.38880355
E01000497,8.21,1.96,4.68,6.129985229,20.97998523
E01000498,7.9,3.54,5.48,7.488921713,24.40892171
E01000499,9.37,2.97,5.11,6.957163959,24.40716396
E01000501,8.13,1.78,4.84,7.208271787,21.95827179
E01000502,9.13,1.78,5.09,6.100443131,22.10044313
E01000503,7.98,2.29,4.71,6.203840473,21.18384047
E01000504,8.06,1.03,3.58,5.302806499,17.9728065
E01000505,8.49,1.09,5.08,6.174298375,20.83429838
E01000506,8.37,2.74,4.25,7.385524372,22.74552437
E01000507,8.73,1.97,4.48,5.553914328,20.73391433
E01000508,8.21,2.28,5.35,7.902511078,23.74251108
E01000509,8.1,3.53,5.24,6.927621861,23.79762186
E01000510,8.49,3.59,5.08,7.474150665,24.63415067
E01000511,8.85,2.74,4.75,6.011816839,22.35181684
E01000512,8.33,1.89,4.55,5.657311669,20.42731167
E01000513,8.65,2.5,4.61,5.775480059,21.53548006
E01000514,9.25,2.44,3.88,5.096011817,20.66601182
E01000515,7.82,2.37,4.16,6.853766617,21.20376662
E01000516,8.89,2.99,3.77,5.066469719,20.71646972
E01000517,8.41,2.13,4.48,5.258493353,20.27849335
E01000518,7.86,2.01,4.4,6.484490399,20.7544904
E01000519,8.33,2.55,4.26,6.395864106,21.53586411
E01000520,8.06,2.31,4.75,6.144756278,21.26475628
E01000521,8.1,3.14,5.25,8.596750369,25.08675037
E01000522,7.66,2.18,4.8,6.336779911,20.97677991
E01000523,8.25,2.77,4.38,7.17872969,22.57872969
E01000524,7.86,2.51,4.71,7.917282127,22.99728213
E01000525,8.06,1.96,4.33,7.474150665,21.82415067
E01000526,7.9,2.21,5.42,7.813884786,23.34388479
E01000527,7.58,2.21,5.35,7.562776957,22.70277696
E01000528,8.25,1.89,4.68,6.617429838,21.43742984
E01000530,8.73,1.37,3.62,3.899556869,17.61955687
E01000531,7.98,1.67,4.41,6.661742984,20.72174298
E01000532,7.5,0.84,3.28,4.830132939,16.45013294
E01000533,7.94,2.43,4.99,7.621861152,22.98186115
E01000534,8.02,0.79,3.29,4.711964549,16.81196455
E01000535,8.37,1.55,3.75,5.657311669,19.32731167
E01000536,9.09,1.83,4.63,4.726735598,20.2767356
E01000538,9.01,1.43,4.27,3.707533235,18.41753324
E01000539,8.41,1.68,4.39,4.608567208,19.08856721
E01000540,9.01,0.99,4.21,3.618906942,17.82890694
E01000541,8.25,2.8,4.07,5.8788774,20.9988774
E01000543,8.77,2.52,4.29,5.450516987,21.03051699
E01000544,8.77,1.48,3.96,5.849335303,20.0593353
E01000545,8.21,2.07,3.57,5.8788774,19.7288774
E01000546,8.13,1.57,3.79,5.790251108,19.28025111
E01000547,8.29,0.93,3.53,4.23929099,16.98929099
E01000548,8.45,1.46,3.33,5.302806499,18.5428065
E01000549,8.29,0.81,2.69,3.840472674,15.63047267
E01000550,7.98,1.34,4.77,6.218611521,20.30861152
E01000551,8.53,1.26,4.49,6.661742984,20.94174298
E01000552,8.25,1.25,4.7,6.809453471,21.00945347
E01000553,8.33,2.3,3.71,6.056129985,20.39612999
E01000554,8.57,1.88,3.91,6.011816839,20.37181684
E01000555,8.21,0.94,4.28,4.830132939,18.26013294
E01000556,8.53,2.54,3.88,7.311669129,22.26166913
E01000557,8.53,2.73,4.27,7.075332349,22.60533235
E01000558,8.57,1.35,4.32,5.243722304,19.4837223
E01000559,7.34,2.6,3.91,5.598227474,19.44822747
E01000560,8.33,1.13,3.52,4.1211226,17.1011226
E01000561,8.53,1.64,4.05,6.026587888,20.24658789
E01000562,8.53,1.31,4.48,4.963072378,19.28307238
E01000563,8.41,1.41,4.24,4.165435746,18.22543575
E01000564,8.93,2.4,3.93,6.203840473,21.46384047
E01000565,8.41,1.73,4.92,5.834564254,20.89456425
E01000566,8.81,1.73,4.09,4.800590842,19.43059084
E01000567,8.13,2.04,4.39,5.302806499,19.8628065
E01000568,9.17,1.43,4.42,4.416543575,19.43654358
E01000569,8.1,1.33,4.36,4.209748892,17.99974889
E01000570,8.41,2.53,4.52,6.528803545,21.98880355
E01000571,8.73,2.27,4.31,5.745937962,21.05593796
E01000572,8.41,1.84,4.09,4.268833087,18.60883309
E01000573,7.82,2.57,4.12,4.460856721,18.97085672
E01000574,9.05,2.34,3.64,4.889217134,19.91921713
E01000575,9.01,3.09,3.11,6.144756278,21.35475628
E01000576,9.21,2.02,3.98,5.184638109,20.39463811
E01000577,9.09,2.73,4.35,7.163958641,23.33395864
E01000578,8.57,1.94,5.09,6.543574594,22.14357459
E01000579,8.77,0.96,3.51,4.682422452,17.92242245
E01000580,8.29,0.92,4.02,4.135893648,17.36589365
E01000581,8.49,0.75,3.67,4.446085672,17.35608567
E01000582,8.49,0.59,3.54,2.732644018,15.35264402
E01000583,8.29,0.93,3.63,3.692762186,16.54276219
E01000584,8.53,1.38,3.69,4.165435746,17.76543575
E01000585,9.01,1.05,2.94,3.855243722,16.85524372
E01000586,8.57,1.45,2.91,4.534711965,17.46471197
E01000587,8.85,2.53,4.04,4.918759232,20.33875923
E01033930,9.29,2.02,4.54,6.484490399,22.3344904
E01000589,8.81,2.81,4.04,4.830132939,20.49013294
E01000590,8.21,2.69,4.06,5.051698671,20.01169867
E01000591,8.97,3.08,4.28,6.307237814,22.63723781
E01000592,8.61,2.01,3.74,5.435745938,19.79574594
E01000593,8.73,1.99,4.34,5.686853767,20.74685377
E01000594,8.73,2.64,3.82,5.745937962,20.93593796
E01000595,8.37,2.33,5.29,8.257016248,24.24701625
E01000596,7.7,2.12,5.73,8.774002954,24.32400295
E01000599,8.77,1.95,4.96,6.691285081,22.37128508
